RandRun04,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19735,39616,-2226.513,-0.056,-0.026,44.322,-19.040
1x2 A,20170,40774,-3708.15,-0.091,-0.059,30.045,-17.428
AH H,11714,20791,-4091.21,-0.197,-0.148,41.071,-4.534
AH A,19813,28435,-4827.835,-0.170,-0.094,40.514,-3.111
Overall,71432,129616,-14853.708,-0.115,-0.071,38.701,-11.808
,,,,,,,
RandRun05,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19628,39383,-2475.863,-0.063,-0.033,44.207,-19.155
1x2 A,19933,39919,-2365.53,-0.059,-0.028,30.296,-17.176
AH H,11759,20959,-3829.69,-0.183,-0.134,41.577,-4.027
AH A,19440,28045,-5111.305,-0.182,-0.107,40.108,-3.517
Overall,70760,128306,-13782.388,-0.107,-0.064,38.725,-11.784
,,,,,,,
RandRun06,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19634,39340,-2821.68,-0.072,-0.042,43.613,-19.750
1x2 A,20292,40962,-2302.37,-0.056,-0.025,30.337,-17.135
AH H,11775,21071,-3662.955,-0.174,-0.125,41.308,-4.296
AH A,19700,28428,-5113.81,-0.180,-0.104,40.416,-3.208
Overall,71401,129801,-13900.815,-0.107,-0.064,38.578,-11.931
,,,,,,,
RandRun07,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19564,39302,-2566.27,-0.065,-0.035,44.137,-19.226
1x2 A,19880,40033,-2760.17,-0.069,-0.037,30.226,-17.246
AH H,11695,20983,-3883.53,-0.185,-0.136,41.214,-4.390
AH A,19600,28142,-4827.445,-0.172,-0.096,40.378,-3.247
Overall,70739,128460,-14037.415,-0.109,-0.066,38.703,-11.806
,,,,,,,
RandRun08,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19676,39357,-2324.514,-0.059,-0.029,44.415,-18.948
1x2 A,20003,40293,-2731.89,-0.068,-0.036,30.380,-17.092
AH H,11775,21040,-3557.045,-0.169,-0.120,41.622,-3.982
AH A,19803,28373,-5049.685,-0.178,-0.103,40.181,-3.444
Overall,71257,129063,-13663.134,-0.106,-0.062,38.837,-11.672
,,,,,,,
RandRun09,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19632,39463,-2396.331,-0.061,-0.031,43.979,-19.384
1x2 A,20001,40105,-3021.75,-0.075,-0.044,29.924,-17.549
AH H,11638,20948,-3469.505,-0.166,-0.117,41.622,-3.982
AH A,19716,28224,-4980.005,-0.176,-0.101,40.277,-3.348
Overall,70987,128740,-13867.591,-0.108,-0.064,38.604,-11.905
,,,,,,,
RandRun10,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19570,39202,-1845.215,-0.047,-0.017,44.844,-18.519
1x2 A,19953,40197,-2956.07,-0.074,-0.042,30.437,-17.036
AH H,11820,21329,-3601.305,-0.169,-0.120,41.878,-3.726
AH A,19740,28342,-5068.93,-0.179,-0.103,40.198,-3.427
Overall,71083,129070,-13471.52,-0.104,-0.061,39.016,-11.492
,,,,,,,
RandAverages,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19652.1,39431.8,-2288.9122,-0.058,-0.028,44.231,-19.131
1x2 A,20012.6,40284.6,-3182.216,-0.079,-0.047,30.038,-17.434
AH H,11723.3,20986.9,-3734.9805,-0.178,-0.129,41.483,-4.121
AH A,19700.6,28330.5,-5018.9815,-0.177,-0.102,40.319,-3.305
Overall,71088.6,129033.8,-14225.0902,-0.110,-0.067,38.699,-11.810
